Target,e-learning process,UEY,Major,Interested,Courses
100,1,2018,5,12,25
100,1,2018,5,12,21
200,1,2018,5,12,26
400,1,2018,2,12,28
400,1,2018,2,12,28
400,1,2018,2,12,28
200,1,2018,2,14,22
300,1,2020,3,14,30
400,1,2018,2,14,28
200,1,2018,2,17,22
400,1,2018,2,12,28
400,1,2018,2,17,28
200,1,2021,2,12,22
300,1,2020,3,14,30
100,1,2021,2,12,27
200,1,2021,2,14,22
100,1,2021,2,14,25
100,1,2021,2,14,27
200,1,2021,2,17,22
100,1,2021,2,17,25
100,1,2021,2,17,27
100,1,2018,2,12,23
400,1,2018,2,12,28
400,1,2018,2,12,28
200,1,2020,3,11,22
200,1,2020,3,14,22
300,1,2020,3,14,30
400,1,2018,2,12,28
100,1,2020,5,11,21
400,1,2018,2,12,28
100,1,2020,5,11,24
200,1,2020,5,11,26
100,1,2020,5,11,27
100,1,2020,5,12,21
200,1,2020,5,12,22
100,1,2020,5,12,24
200,1,2020,5,12,26
300,1,2020,3,14,30
300,1,2020,3,14,30
300,1,2020,3,14,30
400,1,2018,2,12,28
400,1,2018,2,12,28
400,1,2018,2,12,28
100,1,2020,5,15,21
200,1,2020,5,15,22
400,1,2018,2,12,28
200,1,2020,5,15,26
100,1,2020,5,15,27
200,1,2020,3,11,22
100,1,2020,3,11,23
200,1,2020,3,14,22
100,1,2020,3,14,23
200,1,2020,3,18,22
100,1,2020,3,18,23
400,1,2018,2,12,28
200,1,2020,5,11,26
400,1,2020,2,12,28
200,1,2020,5,12,22
200,1,2020,5,12,26
400,1,2020,5,12,32
400,1,2021,4,16,31
200,1,2020,2,11,22
100,1,2020,2,11,23
200,1,2020,2,11,26
200,1,2020,2,12,22
100,1,2020,2,12,23
200,1,2020,2,12,26
200,1,2020,2,14,22
100,1,2020,2,14,23
200,1,2020,2,14,26
200,1,2020,2,16,22
300,1,2020,3,14,30
300,1,2020,3,14,30
200,1,2020,2,19,22
300,1,2020,3,14,30
200,1,2020,2,19,26
100,1,2020,5,11,23
100,1,2020,5,11,24
100,1,2020,5,11,27
